id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,luas_areal_tanam_kacang_hijau,luas_areal_tanam_ubi_kayu,luas_areal_tanam_ubi_jalar,luas_areal_tanam_kedelai,luas_areal_tanam_kacang_tanah,tahun,luas_panen_kedelai,luas_panen_kacang_tanah,luas_panen_kacang_hijau,luas_panen_ubi_kayu,luas_panen_ubi_jalar,tahun,produksi_ubi_kayu,produksi_ubi_jalar,produksi_kedelai,produksi_kacang_tanah,produksi_kacang_hijau,tahun,produktivitas_kedelai,produktivitas_kacang_tanah,produktivitas_kacang_hijau,produktivitas_ubi_kayu,produktivitas_ubi_jalar
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2015,13,4494,3306,89,844,2015,0,887,13,5319,3340,2015,132519,72144,0,1445,14,2015,0.0,16.29,10.77,249.14,216.0
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2015,1045,7850,865,8075,4926,2015,6614,4901,1045,7463,893,2015,232715,14665,9365,12223,1132,2015,14.16,24.94,10.83,311.83,164.22
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2015,316,6503,848,8588,10048,2015,8052,10056,316,6178,906,2015,147842,12708,9905,17239,339,2015,12.3,17.14,10.73,239.3,140.26
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2015,0,5168,1481,422,1055,2015,435,1052,0,5493,1461,2015,89553,21330,760,1068,0,2015,17.47,10.15,0.0,163.03,146.0
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2015,1128,24691,6274,13401,16805,2015,13045,16798,1078,25635,6366,2015,629404,98444,21433,32551,1326,2015,16.43,19.38,12.3,245.53,154.64
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2015,37,9745,1313,4620,2677,2015,4064,2663,37,11135,1273,2015,261130,18795,6467,5356,56,2015,15.91,20.11,15.14,234.51,147.64
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2015,157,3316,531,1729,1004,2015,1648,1001,160,3587,459,2015,103865,4487,2978,2043,283,2015,18.07,20.41,17.69,289.56,97.76
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2015,117,2342,5236,529,637,2015,529,640,115,2362,5196,2015,54361,137295,1061,1199,123,2015,20.06,18.73,10.7,230.15,264.23
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,2015,1555,113,435,328,58,2015,286,58,1755,178,401,2015,3709,11700,389,107,2886,2015,13.6,18.45,16.44,208.37,291.77
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2015,1075,590,790,2115,334,2015,2105,332,1076,630,769,2015,22778,27101,5007,545,1123,2015,23.79,16.42,10.44,361.56,352.42
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2015,142,8260,1269,959,3801,2015,958,3795,142,8375,1255,2015,134243,22319,1732,4641,257,2015,18.08,12.23,18.1,160.29,177.84
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2015,576,183,29,19040,72,2015,16223,68,876,167,29,2015,3270,321,29101,125,892,2015,17.94,18.38,10.18,195.81,110.69
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,2015,31,614,94,367,343,2015,238,344,34,607,100,2015,11913,1223,379,353,49,2015,15.92,10.26,14.41,196.26,122.3
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2015,163,3141,399,237,424,2015,123,406,163,3294,399,2015,73317,5276,211,618,220,2015,17.15,15.22,13.5,222.58,132.23
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2015,464,281,7,1566,106,2015,1188,105,453,288,7,2015,9305,106,2442,235,611,2015,20.56,22.38,13.49,323.09,151.43
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,2015,1,62,12,14,102,2015,1,85,0,70,12,2015,1058,146,1,144,0,2015,10.0,16.94,0.0,151.14,121.67
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2015,17,3096,271,2302,212,2015,1938,210,16,3446,278,2015,68445,3441,3010,317,22,2015,15.53,15.1,13.75,198.62,123.78
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2015,334,193,82,2875,289,2015,2264,177,320,264,83,2015,4504,872,3868,285,349,2015,17.08,16.1,10.91,170.61,105.06
19,32,JAWA BARAT,3271,KOTA BOGOR,2015,0,165,132,0,16,2015,0,29,0,172,134,2015,2329,2019,0,41,0,2015,0.0,14.14,0.0,135.41,150.67
