id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,luas_areal_tanam_kacang_hijau,luas_areal_tanam_ubi_kayu,luas_areal_tanam_ubi_jalar,luas_areal_tanam_kedelai,luas_areal_tanam_kacang_tanah
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2015,13,4494,3306,89,844
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2015,1045,7850,865,8075,4926
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2015,316,6503,848,8588,10048
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2015,0,5168,1481,422,1055
5,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2015,1128,24691,6274,13401,16805
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2015,37,9745,1313,4620,2677
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2015,157,3316,531,1729,1004
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2015,117,2342,5236,529,637
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2015,1555,113,435,328,58
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2015,1075,590,790,2115,334
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2015,142,8260,1269,959,3801
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2015,576,183,29,19040,72
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2015,31,614,94,367,343
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2015,163,3141,399,237,424
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2015,464,281,7,1566,106
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2015,1,62,12,14,102
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2015,17,3096,271,2302,212
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2015,334,193,82,2875,289
19,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2015,0,165,132,0,16
20,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2015,0,19,24,0,0
21,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2015,0,25,20,0,12
22,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2015,3,4,2,0,2
23,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2015,0,39,18,1,5
24,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2015,0,52,6,0,33
25,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2015,0,29,21,0,14
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2015,0,256,16,411,22
27,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2015,5,55,26,249,63
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2016,122,5203,3544,527,853
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2016,428,8048,781,4065,3333
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2016,203,7262,651,6965,8433
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2016,0,4638,1436,1021,714
32,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2016,1485,23755,6406,7914,17379
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2016,14,9514,1616,6281,2801
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2016,10,3595,524,1139,1377
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2016,90,2263,5551,208,738
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2016,2587,4,340,302,29
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2016,2039,407,694,1667,503
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2016,354,7797,1179,2181,2902
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2016,550,310,61,19600,53
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2016,36,910,177,111,1006
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2016,102,2423,253,376,383
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2016,427,189,11,764,242
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2016,5,173,27,1,121
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2016,28,3274,360,1540,196
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2016,71,327,46,3253,67
46,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2016,0,223,128,0,56
47,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2016,0,32,23,0,5
