id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,luas_panen_kedelai,luas_panen_kacang_tanah,luas_panen_kacang_hijau,luas_panen_ubi_kayu,luas_panen_ubi_jalar
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2015,0,887,13,5319,3340
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2015,6614,4901,1045,7463,893
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2015,8052,10056,316,6178,906
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2015,435,1052,0,5493,1461
5,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2015,13045,16798,1078,25635,6366
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2015,4064,2663,37,11135,1273
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2015,1648,1001,160,3587,459
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2015,529,640,115,2362,5196
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2015,286,58,1755,178,401
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2015,2105,332,1076,630,769
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2015,958,3795,142,8375,1255
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2015,16223,68,876,167,29
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2015,238,344,34,607,100
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2015,123,406,163,3294,399
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2015,1188,105,453,288,7
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2015,1,85,0,70,12
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2015,1938,210,16,3446,278
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2015,2264,177,320,264,83
19,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2015,0,29,0,172,134
20,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2015,0,0,0,21,24
21,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2015,0,12,0,38,26
22,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2015,0,2,3,4,2
23,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2015,1,5,0,42,17
24,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2015,0,34,0,51,6
25,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2015,0,16,0,43,36
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2015,211,22,0,366,16
27,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2015,249,63,5,60,26
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2016,464,845,122,4531,3459
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2016,3982,3228,428,6597,666
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2016,6467,8474,206,6612,638
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2016,800,692,0,3889,1352
32,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2016,7914,17223,1485,21798,6391
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2016,6098,2862,14,8672,1557
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2016,830,1354,11,2924,584
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2016,208,738,74,2249,5294
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2016,277,29,2385,2,283
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2016,1478,503,2002,370,712
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2016,2180,2907,348,8273,1104
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2016,21411,53,80,72,67
