id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,produksi_ubi_kayu,produksi_ubi_jalar,produksi_kedelai,produksi_kacang_tanah,produksi_kacang_hijau
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,TON,2015,132519,72144,0,1445,14
54,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TON,2015,232715,14665,9365,12223,1132
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TON,2015,147842,12708,9905,17239,339
56,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TON,2015,89553,21330,760,1068,0
57,32,JAWA BARAT,3205,KABUPATEN GARUT,TON,2015,629404,98444,21433,32551,1326
58,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TON,2015,261130,18795,6467,5356,56
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TON,2015,103865,4487,2978,2043,283
60,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TON,2015,54361,137295,1061,1199,123
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,TON,2015,3709,11700,389,107,2886
62,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TON,2015,22778,27101,5007,545,1123
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TON,2015,134243,22319,1732,4641,257
64,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TON,2015,3270,321,29101,125,892
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,TON,2015,11913,1223,379,353,49
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TON,2015,73317,5276,211,618,220
67,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TON,2015,9305,106,2442,235,611
68,32,JAWA BARAT,3216,KABUPATEN BEKASI,TON,2015,1058,146,1,144,0
69,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TON,2015,68445,3441,3010,317,22
70,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TON,2015,4504,872,3868,285,349
71,32,JAWA BARAT,3271,KOTA BOGOR,TON,2015,2329,2019,0,41,0
72,32,JAWA BARAT,3272,KOTA SUKABUMI,TON,2015,572,379,0,0,0
73,32,JAWA BARAT,3273,KOTA BANDUNG,TON,2015,612,254,0,14,0
