id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,produktivitas_kedelai,produktivitas_kacang_tanah,produktivitas_kacang_hijau,produktivitas_ubi_kayu,produktivitas_ubi_jalar
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KUINTAL PER HEKTAR,2015,0.0,16.29,10.77,249.14,216.0
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KUINTAL PER HEKTAR,2015,14.16,24.94,10.83,311.83,164.22
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KUINTAL PER HEKTAR,2015,12.3,17.14,10.73,239.3,140.26
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KUINTAL PER HEKTAR,2015,17.47,10.15,0.0,163.03,146.0
5,32,JAWA BARAT,3205,KABUPATEN GARUT,KUINTAL PER HEKTAR,2015,16.43,19.38,12.3,245.53,154.64
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KUINTAL PER HEKTAR,2015,15.91,20.11,15.14,234.51,147.64
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KUINTAL PER HEKTAR,2015,18.07,20.41,17.69,289.56,97.76
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KUINTAL PER HEKTAR,2015,20.06,18.73,10.7,230.15,264.23
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,KUINTAL PER HEKTAR,2015,13.6,18.45,16.44,208.37,291.77
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KUINTAL PER HEKTAR,2015,23.79,16.42,10.44,361.56,352.42
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KUINTAL PER HEKTAR,2015,18.08,12.23,18.1,160.29,177.84
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KUINTAL PER HEKTAR,2015,17.94,18.38,10.18,195.81,110.69
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,KUINTAL PER HEKTAR,2015,15.92,10.26,14.41,196.26,122.3
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KUINTAL PER HEKTAR,2015,17.15,15.22,13.5,222.58,132.23
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KUINTAL PER HEKTAR,2015,20.56,22.38,13.49,323.09,151.43
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,KUINTAL PER HEKTAR,2015,10.0,16.94,0.0,151.14,121.67
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KUINTAL PER HEKTAR,2015,15.53,15.1,13.75,198.62,123.78
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KUINTAL PER HEKTAR,2015,17.08,16.1,10.91,170.61,105.06
19,32,JAWA BARAT,3271,KOTA BOGOR,KUINTAL PER HEKTAR,2015,0.0,14.14,0.0,135.41,150.67
20,32,JAWA BARAT,3272,KOTA SUKABUMI,KUINTAL PER HEKTAR,2015,0.0,0.0,0.0,272.38,157.92
