id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_ubi_kayu,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,141494,TON,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,218391,TON,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,104708,TON,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,98869,TON,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,709243,TON,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,335269,TON,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70773,TON,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,42316,TON,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,537,TON,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,26637,TON,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,187767,TON,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2722,TON,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,21910,TON,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,89200,TON,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4799,TON,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1607,TON,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,59640,TON,2013
18,32,JAWA BARAT,3271,KOTA BOGOR,6876,TON,2013
19,32,JAWA BARAT,3272,KOTA SUKABUMI,776,TON,2013
20,32,JAWA BARAT,3273,KOTA BANDUNG,179,TON,2013
21,32,JAWA BARAT,3274,KOTA CIREBON,237,TON,2013
22,32,JAWA BARAT,3275,KOTA BEKASI,451,TON,2013
23,32,JAWA BARAT,3276,KOTA DEPOK,4098,TON,2013
24,32,JAWA BARAT,3277,KOTA CIMAHI,864,TON,2013
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5487,TON,2013
26,32,JAWA BARAT,3279,KOTA BANJAR,3682,TON,2013
