id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_ubi_jalar,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,50180,TON,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12393,TON,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,17791,TON,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,18474,TON,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,178770,TON,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17621,TON,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7993,TON,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,118267,TON,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,3332,TON,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18857,TON,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15777,TON,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,406,TON,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1339,TON,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12062,TON,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,338,TON,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,202,TON,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5895,TON,2013
18,32,JAWA BARAT,3271,KOTA BOGOR,2797,TON,2013
19,32,JAWA BARAT,3272,KOTA SUKABUMI,346,TON,2013
20,32,JAWA BARAT,3273,KOTA BANDUNG,125,TON,2013
21,32,JAWA BARAT,3274,KOTA CIREBON,95,TON,2013
22,32,JAWA BARAT,3275,KOTA BEKASI,88,TON,2013
23,32,JAWA BARAT,3276,KOTA DEPOK,805,TON,2013
24,32,JAWA BARAT,3277,KOTA CIMAHI,436,TON,2013
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,218,TON,2013
26,32,JAWA BARAT,3279,KOTA BANJAR,458,TON,2013
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,51824,TON,2014
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,23672,TON,2014
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,17748,TON,2014
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,33568,TON,2014
31,32,JAWA BARAT,3205,KABUPATEN GARUT,95452,TON,2014
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25144,TON,2014
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8505,TON,2014
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,146054,TON,2014
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,7812,TON,2014
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15394,TON,2014
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18598,TON,2014
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,156,TON,2014
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,3027,TON,2014
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10090,TON,2014
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,444,TON,2014
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,216,TON,2014
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6936,TON,2014
44,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2259,TON,2014
45,32,JAWA BARAT,3271,KOTA BOGOR,2127,TON,2014
46,32,JAWA BARAT,3272,KOTA SUKABUMI,407,TON,2014
47,32,JAWA BARAT,3273,KOTA BANDUNG,158,TON,2014
48,32,JAWA BARAT,3274,KOTA CIREBON,106,TON,2014
49,32,JAWA BARAT,3275,KOTA BEKASI,189,TON,2014
50,32,JAWA BARAT,3276,KOTA DEPOK,243,TON,2014
51,32,JAWA BARAT,3277,KOTA CIMAHI,297,TON,2014
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,173,TON,2014
53,32,JAWA BARAT,3279,KOTA BANJAR,1138,TON,2014
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,72144,TON,2015
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14665,TON,2015
