id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,4494,HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7850,HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6503,HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5168,HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,24691,HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9745,HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3316,HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2342,HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,113,HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,590,HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8260,HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,183,HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,614,HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3141,HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,281,HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,62,HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3096,HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,193,HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,165,HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,19,HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,25,HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,39,HEKTAR,2015
