id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3306,HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,865,HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,848,HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1481,HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,6274,HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1313,HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,531,HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5236,HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,435,HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,790,HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1269,HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29,HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,94,HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,399,HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,12,HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,271,HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,82,HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,132,HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,24,HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,20,HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,2,HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,18,HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,6,HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,21,HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16,HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,26,HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,3544,HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,781,HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,651,HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1436,HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,6406,HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1616,HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,524,HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5551,HEKTAR,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,340,HEKTAR,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,694,HEKTAR,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1179,HEKTAR,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,61,HEKTAR,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,177,HEKTAR,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,253,HEKTAR,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11,HEKTAR,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,27,HEKTAR,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,360,HEKTAR,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46,HEKTAR,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,128,HEKTAR,2016
