id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,887,HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4901,HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10056,HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1052,HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,16798,HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2663,HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1001,HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,640,HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,58,HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,332,HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3795,HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,68,HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,344,HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,406,HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,105,HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,85,HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,210,HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,177,HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,29,HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,12,HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,2,HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,5,HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,34,HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,16,HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,22,HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,63,HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,845,HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3228,HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8474,HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,692,HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,17223,HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2862,HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1354,HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,738,HEKTAR,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,29,HEKTAR,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,503,HEKTAR,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2907,HEKTAR,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,53,HEKTAR,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1001,HEKTAR,2016
