id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,5319,HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7463,HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6178,HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5493,HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,25635,HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11135,HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3587,HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2362,HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,178,HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,630,HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8375,HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,167,HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,607,HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3294,HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,288,HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,70,HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3446,HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,264,HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,172,HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,21,HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,38,HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,42,HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,51,HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,43,HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,366,HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,60,HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4531,HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6597,HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6612,HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3889,HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,21798,HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8672,HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2924,HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2249,HEKTAR,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2,HEKTAR,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,370,HEKTAR,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8273,HEKTAR,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,72,HEKTAR,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,635,HEKTAR,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2705,HEKTAR,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,137,HEKTAR,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,160,HEKTAR,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2592,HEKTAR,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,255,HEKTAR,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,110,HEKTAR,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,32,HEKTAR,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,22,HEKTAR,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2016
