id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kedelai,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,TON,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9365,TON,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9905,TON,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,760,TON,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,21433,TON,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6467,TON,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2978,TON,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1061,TON,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,389,TON,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5007,TON,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1732,TON,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29101,TON,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,379,TON,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,211,TON,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2442,TON,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,TON,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3010,TON,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3868,TON,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,1,TON,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,341,TON,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,487,TON,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,544,TON,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6220,TON,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10390,TON,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1393,TON,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,13569,TON,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9480,TON,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1420,TON,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,329,TON,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,495,TON,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2625,TON,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3101,TON,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,37754,TON,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,77,TON,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,345,TON,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,459,TON,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2563,TON,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,468,TON,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,614,TON,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,232,TON,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,326,TON,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3763,TON,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4773,TON,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1592,TON,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,11083,TON,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6954,TON,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2085,TON,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,321,TON,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,166,TON,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1035,TON,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1501,TON,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9987,TON,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,274,TON,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,93,TON,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2988,TON,2017
