id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kacang_hijau,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,14,TON,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1132,TON,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,339,TON,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1326,TON,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,56,TON,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,283,TON,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,123,TON,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,2886,TON,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1123,TON,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,257,TON,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,892,TON,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,49,TON,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,220,TON,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,611,TON,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,22,TON,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,349,TON,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,3,TON,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,6,TON,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,132,TON,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,631,TON,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,217,TON,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,1775,TON,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16,TON,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,16,TON,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,84,TON,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,3412,TON,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2090,TON,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,468,TON,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,94,TON,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,35,TON,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,133,TON,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,519,TON,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,TON,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,39,TON,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,3,TON,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,31,TON,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,232,TON,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9,TON,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,188,TON,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,1359,TON,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7,TON,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1404,TON,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,30,TON,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,2191,TON,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1727,TON,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,167,TON,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1416,TON,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,15,TON,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,115,TON,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,403,TON,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,TON,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,48,TON,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,599,TON,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,2,TON,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,8,TON,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,59,TON,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,271,TON,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14,TON,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,100,TON,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,957,TON,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,134,TON,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4450,TON,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11,TON,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2466,TON,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2699,TON,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,73,TON,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,541,TON,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,232,TON,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,91,TON,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,303,TON,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,TON,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25,TON,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,765,TON,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2018
