id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_kedelai,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.0,KUINTAL PER HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14.16,KUINTAL PER HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12.3,KUINTAL PER HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,17.47,KUINTAL PER HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,16.43,KUINTAL PER HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15.91,KUINTAL PER HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18.07,KUINTAL PER HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20.06,KUINTAL PER HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,13.6,KUINTAL PER HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23.79,KUINTAL PER HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18.08,KUINTAL PER HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,17.94,KUINTAL PER HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,15.92,KUINTAL PER HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17.15,KUINTAL PER HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20.56,KUINTAL PER HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.0,KUINTAL PER HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15.53,KUINTAL PER HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,17.08,KUINTAL PER HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,0.0,KUINTAL PER HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,KUINTAL PER HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,KUINTAL PER HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,0.0,KUINTAL PER HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,10.0,KUINTAL PER HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,0.0,KUINTAL PER HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,KUINTAL PER HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16.16,KUINTAL PER HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,19.56,KUINTAL PER HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,11.72,KUINTAL PER HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,15.62,KUINTAL PER HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,16.07,KUINTAL PER HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,17.41,KUINTAL PER HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,17.15,KUINTAL PER HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15.55,KUINTAL PER HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17.11,KUINTAL PER HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15.82,KUINTAL PER HEKTAR,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,17.9,KUINTAL PER HEKTAR,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,17.76,KUINTAL PER HEKTAR,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14.22,KUINTAL PER HEKTAR,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,17.63,KUINTAL PER HEKTAR,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,13.18,KUINTAL PER HEKTAR,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17.33,KUINTAL PER HEKTAR,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,17.65,KUINTAL PER HEKTAR,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,KUINTAL PER HEKTAR,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16.72,KUINTAL PER HEKTAR,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,17.64,KUINTAL PER HEKTAR,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,0.0,KUINTAL PER HEKTAR,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,KUINTAL PER HEKTAR,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,KUINTAL PER HEKTAR,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,0.0,KUINTAL PER HEKTAR,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,0.0,KUINTAL PER HEKTAR,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,0.0,KUINTAL PER HEKTAR,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,KUINTAL PER HEKTAR,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.38,KUINTAL PER HEKTAR,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,17.13,KUINTAL PER HEKTAR,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.81,KUINTAL PER HEKTAR,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,15.38,KUINTAL PER HEKTAR,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,16.92,KUINTAL PER HEKTAR,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.0,KUINTAL PER HEKTAR,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,17.98,KUINTAL PER HEKTAR,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15.34,KUINTAL PER HEKTAR,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,19.56,KUINTAL PER HEKTAR,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16.81,KUINTAL PER HEKTAR,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,10.17,KUINTAL PER HEKTAR,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19.18,KUINTAL PER HEKTAR,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20.56,KUINTAL PER HEKTAR,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,19.25,KUINTAL PER HEKTAR,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,14.44,KUINTAL PER HEKTAR,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18.37,KUINTAL PER HEKTAR,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,19.99,KUINTAL PER HEKTAR,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,KUINTAL PER HEKTAR,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,19.08,KUINTAL PER HEKTAR,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,18.18,KUINTAL PER HEKTAR,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,0.0,KUINTAL PER HEKTAR,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,KUINTAL PER HEKTAR,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,KUINTAL PER HEKTAR,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,0.0,KUINTAL PER HEKTAR,2017
