id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_kacang_tanah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,16.29,KUINTAL PER HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24.94,KUINTAL PER HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,17.14,KUINTAL PER HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10.15,KUINTAL PER HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,19.38,KUINTAL PER HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20.11,KUINTAL PER HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20.41,KUINTAL PER HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18.73,KUINTAL PER HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,18.45,KUINTAL PER HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,16.42,KUINTAL PER HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.23,KUINTAL PER HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18.38,KUINTAL PER HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,10.26,KUINTAL PER HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15.22,KUINTAL PER HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,22.38,KUINTAL PER HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,16.94,KUINTAL PER HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15.1,KUINTAL PER HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16.1,KUINTAL PER HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,14.14,KUINTAL PER HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,KUINTAL PER HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,11.67,KUINTAL PER HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,10.0,KUINTAL PER HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,16.0,KUINTAL PER HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,10.0,KUINTAL PER HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,15.63,KUINTAL PER HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11.82,KUINTAL PER HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,11.9,KUINTAL PER HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,14.71,KUINTAL PER HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20.32,KUINTAL PER HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12.88,KUINTAL PER HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15.57,KUINTAL PER HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,19.46,KUINTAL PER HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,13.75,KUINTAL PER HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,22.69,KUINTAL PER HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16.92,KUINTAL PER HEKTAR,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,16.26,KUINTAL PER HEKTAR,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18.13,KUINTAL PER HEKTAR,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14.65,KUINTAL PER HEKTAR,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20.57,KUINTAL PER HEKTAR,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,13.47,KUINTAL PER HEKTAR,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18.88,KUINTAL PER HEKTAR,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,21.3,KUINTAL PER HEKTAR,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,14.93,KUINTAL PER HEKTAR,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15.67,KUINTAL PER HEKTAR,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,21.71,KUINTAL PER HEKTAR,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,17.19,KUINTAL PER HEKTAR,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,12.0,KUINTAL PER HEKTAR,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,15.45,KUINTAL PER HEKTAR,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,10.0,KUINTAL PER HEKTAR,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,19.17,KUINTAL PER HEKTAR,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,11.35,KUINTAL PER HEKTAR,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,16.0,KUINTAL PER HEKTAR,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12.55,KUINTAL PER HEKTAR,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,14.86,KUINTAL PER HEKTAR,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,14.41,KUINTAL PER HEKTAR,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25.75,KUINTAL PER HEKTAR,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15.21,KUINTAL PER HEKTAR,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.0,KUINTAL PER HEKTAR,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,17.14,KUINTAL PER HEKTAR,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,18.24,KUINTAL PER HEKTAR,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,22.49,KUINTAL PER HEKTAR,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16.08,KUINTAL PER HEKTAR,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,24.44,KUINTAL PER HEKTAR,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,17.44,KUINTAL PER HEKTAR,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16.0,KUINTAL PER HEKTAR,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,22.44,KUINTAL PER HEKTAR,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,14.52,KUINTAL PER HEKTAR,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15.87,KUINTAL PER HEKTAR,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,18.06,KUINTAL PER HEKTAR,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,13.85,KUINTAL PER HEKTAR,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,19.95,KUINTAL PER HEKTAR,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.75,KUINTAL PER HEKTAR,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,0.0,KUINTAL PER HEKTAR,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,KUINTAL PER HEKTAR,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,KUINTAL PER HEKTAR,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,20.0,KUINTAL PER HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,0.0,KUINTAL PER HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,0.0,KUINTAL PER HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,KUINTAL PER HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,KUINTAL PER HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,14.64,KUINTAL PER HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.48,KUINTAL PER HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.36,KUINTAL PER HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12.65,KUINTAL PER HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1.0,KUINTAL PER HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,14.29,KUINTAL PER HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.63,KUINTAL PER HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.39,KUINTAL PER HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,14.93,KUINTAL PER HEKTAR,2018
